Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
404,60,RL,12090,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1141,GasA,Gd,Y,1165,1098,0,2263,0,0,2,1,4,1,Gd,10,Typ,1,TA,2,420,Y,144,123,0,0,0,0,NA,NA,NA,0,7,2006,WD,Abnorml,258000
405,60,RL,10364,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,806,GasA,Gd,Y,806,766,0,1572,0,0,2,1,3,1,TA,7,Typ,1,TA,2,373,Y,0,40,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,168000
406,20,RL,9991,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,1281,GasA,Ex,Y,1620,0,0,1620,1,0,2,0,3,1,TA,8,Min1,1,TA,2,490,Y,120,78,0,0,0,0,NA,GdWo,NA,0,6,2009,WD,Normal,150000
407,50,RL,10480,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,1064,GasA,Ex,Y,1166,0,473,1639,0,0,1,0,3,1,TA,6,Maj2,0,NA,1,240,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,115000
408,70,RL,15576,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,TA,TA,BrkTil,840,GasA,Ex,Y,840,840,0,1680,0,0,2,0,4,1,TA,8,Typ,0,NA,1,308,Y,0,0,160,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,177000
409,60,RL,14154,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1063,GasA,Ex,Y,1071,1101,0,2172,0,0,2,1,3,1,Gd,9,Typ,1,Gd,3,947,Y,192,62,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,280000
410,60,FV,10800,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1034,GasA,Ex,Y,1050,1028,0,2078,1,0,2,1,3,1,Ex,8,Typ,1,Gd,3,836,Y,0,102,0,0,0,0,NA,NA,NA,0,4,2008,New,Partial,339750
411,20,RL,9571,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,TA,Fa,CBlock,1276,GasA,TA,Y,1276,0,0,1276,0,0,1,0,3,1,TA,5,Mod,0,NA,1,350,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2009,COD,Abnorml,60000
412,190,RL,34650,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1056,GasA,TA,N,1056,0,0,1056,1,0,1,0,3,1,TA,5,Typ,0,NA,2,572,Y,264,0,0,0,0,0,NA,NA,NA,0,1,2006,WD,Normal,145000
413,20,FV,4403,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,Ex,TA,PConc,1470,GasA,Ex,Y,1478,0,0,1478,1,0,2,1,2,1,Gd,7,Typ,1,Gd,2,484,Y,0,144,0,0,0,0,NA,NA,NA,0,6,2010,New,Partial,222000
414,30,RM,8960,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,1008,GasA,Gd,Y,1028,0,0,1028,0,0,1,0,2,1,TA,5,Typ,1,Gd,2,360,Y,0,0,130,0,0,0,NA,NA,NA,0,3,2010,WD,Normal,115000
415,60,RL,11228,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1080,GasA,Ex,Y,1080,1017,0,2097,0,1,2,1,3,1,Gd,9,Typ,1,TA,3,678,Y,196,187,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,228000
416,20,RL,8899,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1340,GasA,Ex,Y,1340,0,0,1340,0,0,2,0,3,1,Gd,6,Typ,0,NA,2,396,Y,100,30,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,181134
417,60,RL,7844,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,672,GasA,TA,Y,672,728,0,1400,0,0,1,1,3,1,TA,6,Typ,1,TA,2,440,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2006,WD,Normal,149500
418,70,RL,22420,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,TA,TA,BrkTil,1370,GasW,TA,N,1370,1254,0,2624,1,0,2,1,4,1,TA,10,Typ,1,Gd,3,864,N,0,0,0,0,0,0,NA,NA,NA,0,11,2007,WD,Normal,239000
419,50,RL,8160,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,756,GasA,Fa,N,756,378,0,1134,1,0,1,1,3,1,TA,7,Typ,0,NA,1,240,P,0,0,0,0,0,0,NA,NA,NA,0,4,2007,WD,AdjLand,126000
420,20,RL,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,1056,GasA,Ex,Y,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,1,Fa,1,304,Y,0,85,184,0,0,0,NA,NA,NA,0,7,2010,WD,Normal,142000
421,90,RM,7060,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,Gd,PConc,1344,GasA,Ex,Y,1344,0,0,1344,2,0,2,0,2,2,TA,8,Typ,0,NA,4,784,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD,Alloca,206300
422,20,RL,16635,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Gd,TA,CBlock,1602,GasA,Gd,Y,1602,0,0,1602,0,1,2,0,3,1,Gd,8,Typ,1,TA,2,529,Y,240,0,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,215000
423,20,RL,21750,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,988,GasA,Ex,Y,988,0,0,988,0,0,1,0,2,1,TA,4,Typ,0,NA,2,520,N,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,113000
424,60,RL,9200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1470,GasA,Gd,Y,1470,1160,0,2630,1,0,2,1,4,1,Gd,8,Typ,1,TA,3,696,Y,0,66,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,315000
425,20,RL,9000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1196,GasA,Gd,Y,1196,0,0,1196,1,0,1,0,2,1,TA,6,Typ,1,Gd,1,297,Y,0,44,0,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,139000
426,60,RM,3378,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,TA,Gd,CBlock,651,GasA,Gd,Y,707,682,0,1389,0,0,1,1,3,1,TA,6,Typ,2,Gd,1,240,P,0,0,126,0,0,0,NA,NA,NA,0,9,2009,WD,Normal,135000
427,80,RL,12800,Pave,NA,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,TA,PConc,1518,GasA,Gd,Y,1644,0,0,1644,1,1,2,0,2,1,Gd,5,Typ,1,TA,2,569,Y,80,0,0,0,396,0,NA,NA,NA,0,8,2009,WD,Normal,275000
428,20,RL,8593,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,907,GasA,Ex,Y,907,0,0,907,0,0,1,0,3,1,TA,5,Typ,0,NA,1,352,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,109008
429,20,RL,6762,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1208,GasA,Ex,Y,1208,0,0,1208,1,0,2,0,2,1,Gd,6,Typ,0,NA,2,628,Y,105,54,0,0,0,0,NA,NA,NA,0,9,2007,New,Partial,195400
430,20,RL,11457,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,1392,GasA,TA,Y,1412,0,0,1412,1,0,2,0,3,1,Gd,6,Typ,1,TA,2,576,Y,0,0,169,0,0,0,NA,NA,NA,0,3,2009,WD,Normal,175000
431,160,RM,1680,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,483,GasA,TA,Y,483,504,0,987,0,0,1,1,2,1,TA,4,Typ,0,NA,1,264,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2008,COD,Abnorml,85400
432,50,RM,5586,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,901,GasA,Gd,Y,1088,110,0,1198,0,0,1,0,4,1,TA,7,Typ,0,NA,0,0,N,0,98,0,0,0,0,NA,MnPrv,NA,0,9,2008,ConLD,Abnorml,79900
433,160,RM,1920,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,765,GasA,Ex,Y,765,600,0,1365,1,0,1,1,2,1,TA,6,Min1,0,NA,2,440,Y,240,36,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,122500
434,60,RL,10839,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,926,GasA,Ex,Y,926,678,0,1604,0,0,2,1,3,1,TA,7,Typ,1,TA,2,470,Y,0,36,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,181000
435,180,RM,1890,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,TA,Gd,CBlock,630,GasA,Gd,Y,630,0,0,630,1,0,1,0,1,1,TA,3,Typ,0,NA,0,0,Y,88,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,81000
436,60,RL,10667,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,799,GasA,Ex,Y,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,1,TA,2,550,Y,158,61,0,0,0,0,NA,NA,NA,0,4,2009,ConLw,Normal,212000
437,50,RM,4400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,648,GasA,TA,Y,734,384,0,1118,0,0,1,0,2,1,TA,6,Typ,0,NA,2,440,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2006,WD,Normal,116000
438,45,RM,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,TA,PConc,884,GasA,Gd,Y,904,0,0,904,0,0,1,0,2,1,TA,4,Typ,0,NA,1,180,Y,0,0,105,0,0,0,NA,NA,NA,0,1,2009,WD,Normal,119000
439,30,RL,4280,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,TA,TA,PConc,440,GasA,TA,N,694,0,0,694,0,0,1,0,2,1,Gd,4,Typ,1,Gd,1,352,P,0,0,34,0,0,0,NA,MnPrv,NA,0,3,2007,WD,Normal,90350
440,50,RL,12354,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,684,GasA,Gd,Y,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,0,NA,2,528,Y,0,46,0,0,0,0,NA,GdPrv,Shed,800,8,2009,ConLI,Normal,110000
441,20,RL,15431,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,3094,GasA,Ex,Y,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,Gd,3,672,Y,0,72,0,0,170,0,NA,NA,NA,0,4,2009,WD,Normal,555000
442,90,RL,12108,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,1440,GasA,TA,N,1440,0,0,1440,0,0,2,0,4,2,Fa,8,Typ,0,NA,0,0,Y,0,0,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,118000
443,50,RM,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,1078,GasA,TA,Y,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,1,Gd,2,360,P,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,162900
444,120,RL,3922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,Gd,TA,PConc,1258,GasA,Ex,Y,1258,0,0,1258,0,0,2,0,2,1,Gd,6,Typ,1,Gd,3,648,Y,144,16,0,0,0,0,NA,NA,NA,0,6,2007,New,Partial,172500
445,60,RL,8750,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,Gd,Gd,PConc,915,GasA,Ex,Y,933,975,0,1908,1,0,2,1,4,1,Gd,8,Typ,1,TA,2,493,Y,144,133,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,210000
446,20,RL,9855,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1436,GasA,Fa,Y,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,1,Gd,2,480,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,11,2009,COD,Normal,127500
447,20,RL,16492,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,Gd,TA,CBlock,1517,GasA,Ex,Y,1888,0,0,1888,0,0,2,1,2,1,Gd,6,Mod,1,Gd,2,578,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,190000
448,60,RL,11214,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,930,GasA,Gd,Y,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,TA,2,431,Y,89,0,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,199900
449,50,RM,8600,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,780,GasA,TA,Y,780,596,0,1376,0,0,2,0,3,1,TA,7,Typ,1,Gd,1,198,N,0,0,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,119500
450,50,RM,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,649,GasA,Ex,Y,679,504,0,1183,0,0,1,1,2,1,TA,6,Typ,0,NA,1,308,Y,0,176,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,120000
451,30,RM,5684,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,813,GasA,Ex,Y,813,0,0,813,0,0,1,0,2,1,Gd,5,Typ,0,NA,1,270,N,0,113,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,110000
452,20,RL,70761,Pave,NA,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,TA,TA,CBlock,1533,GasA,TA,Y,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,TA,2,576,Y,200,54,0,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,280000
453,60,RL,9303,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,872,GasA,Ex,Y,888,868,0,1756,1,0,2,1,3,1,TA,7,Typ,0,NA,2,422,Y,144,122,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,204000
454,60,FV,9000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,768,GasA,Ex,Y,786,804,0,1590,0,0,2,1,3,1,Gd,6,Typ,0,NA,2,676,Y,0,30,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,210000
455,90,RL,9297,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,1728,GasA,TA,Y,1728,0,0,1728,2,0,2,0,4,2,TA,8,Typ,0,NA,2,560,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2006,WD,Family,188000
456,20,RL,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,1242,GasA,Fa,Y,1242,0,0,1242,0,0,1,1,3,1,TA,6,Typ,1,TA,2,528,Y,0,0,0,0,0,0,NA,NA,NA,0,9,2007,WD,Normal,175500
457,70,RM,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,TA,TA,BrkTil,624,GasA,Fa,N,624,720,0,1344,0,0,1,0,4,1,TA,7,Typ,0,NA,3,513,Y,0,0,96,0,0,0,NA,NA,NA,0,5,2008,COD,Abnorml,98000
458,20,RL,53227,Pave,NA,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,TA,TA,CBlock,1364,GasA,Ex,Y,1663,0,0,1663,1,0,1,0,2,1,Gd,6,Min1,2,Gd,2,529,Y,224,137,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,256000
459,70,RM,5100,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,TA,Gd,PConc,588,GasA,Fa,Y,833,833,0,1666,0,0,1,0,3,1,Gd,7,Typ,1,Gd,1,228,Y,192,63,0,0,0,0,NA,MnPrv,NA,0,6,2008,WD,Normal,161000
460,50,RL,7015,Pave,NA,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,709,GasA,TA,Y,979,224,0,1203,1,0,1,0,3,1,Gd,5,Typ,1,TA,1,352,Y,0,0,248,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,110000
461,60,FV,8004,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,832,GasA,Ex,Y,832,1103,0,1935,1,0,2,1,3,1,TA,8,Typ,0,NA,2,552,Y,0,150,0,0,0,0,NA,NA,NA,0,12,2009,New,Partial,263435
462,70,RL,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,PConc,560,GasA,Ex,Y,575,560,0,1135,1,0,1,0,3,1,Gd,6,Typ,0,NA,2,576,Y,256,0,0,0,0,0,NA,MnPrv,NA,0,4,2009,WD,Normal,155000
463,20,RL,8281,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,864,GasA,Gd,Y,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,Po,1,360,Y,0,0,236,0,0,0,NA,GdWo,NA,0,12,2009,WD,Normal,62383
464,70,RL,11988,Pave,NA,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,TA,TA,CBlock,715,GasA,Fa,Y,849,811,0,1660,0,0,1,1,3,1,TA,6,Typ,1,Gd,1,240,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,188700
465,20,RL,8430,Pave,NA,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,1040,GasA,TA,Y,1040,0,0,1040,0,0,2,0,3,1,TA,5,Typ,0,NA,0,0,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2009,WD,Normal,124000
466,120,RM,3072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1375,GasA,Ex,Y,1414,0,0,1414,0,0,2,0,2,1,Gd,6,Typ,1,TA,2,398,Y,144,20,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,178740
467,20,RL,10628,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,TA,Gd,CBlock,1277,GasA,TA,Y,1277,0,0,1277,1,0,1,0,2,1,TA,5,Typ,1,Po,2,526,Y,0,0,0,0,176,0,NA,GdWo,NA,0,4,2007,WD,Normal,167000
468,70,RL,9480,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,2Story,5,7,1942,1995,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,728,GasA,Ex,Y,888,756,0,1644,0,0,1,1,3,1,Gd,7,Typ,2,Gd,1,312,Y,168,0,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,146500
469,20,RL,11428,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1626,GasA,Ex,Y,1634,0,0,1634,0,0,2,0,3,1,Gd,7,Typ,1,Gd,3,866,Y,0,44,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,250000
470,60,RL,9291,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,832,GasA,Ex,Y,832,878,0,1710,0,0,2,1,3,1,Gd,7,Typ,0,NA,2,506,Y,144,70,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,187000
